S.no,Site ID,Site Name,STATE,City,Transmission,STATUS,1.8G+L2.1+C,SUPERVISOR
313,JBA6592,Hai Cenima,C.E.S,Juba,Microwave,ON Air,No,Joshua Francis 
314,AMK3010,Amok Ping,LAKES,Rumbek Center,Vsat,ON Air,No,Victor Ernest
315,GNY6260,Ganyel,UNITY,Panyjiar,Microwave,ON Air,No,Chuol Far
316,YEI4009,Gigomoni,C.E.S,YEI,Vsat,ON Air,No,Lule
317,JBA5023,Giada 2,C.E.S,Juba,Microwave,ON Air,Yes,Joshua Francis 
318,JBA6574,Referundum Road,C.E.S,Juba,Microwave,ON Air,No,Joshua Francis 
319,JBA6577,Konyo Konyo Market,C.E.S,Juba,Microwave,ON Air,No,Joshua Francis 
320,JBA6588,Munuki Block B,C.E.S,Juba,Microwave,ON Air,No,Joshua Francis 
321,JBA6193,Gudele 2 (Pity Oil),C.E.S,Juba,Microwave,ON Air,No,Joshua Francis 
322,JBA6194,Atlabara B,C.E.S,Juba,Microwave,ON Air,No,Joshua Francis 
323,JBA6595,Thongpiny new,C.E.S,Juba,Microwave,ON Air,,Joshua Francis 
324,JBA6596,Referundum 3,C.E.S,Juba,Microwave,ON Air,,Joshua Francis 
325,JBA6597,Gurei North,C.E.S,Juba,Microwave,ON Air,,Joshua Francis 
326,JBA6598,Gudele Lou Junction,C.E.S,Juba,Microwave,ON Air,,Joshua Francis 
327,JBA6560,Nyakuron West,C.E.S,Juba,Microwave,ON Air,,Joshua Francis 
328,JBA6568,Nimra Talata 3,C.E.S,Juba,Microwave,ON Air,,Joshua Francis 
329,JBA6570,Hai Game,C.E.S,Juba,Microwave,ON Air,,Joshua Francis 
330,JBA6551,Medan Simba,C.E.S,Juba,Microwave,ON Air,,Joshua Francis 
331,JBA6552,Kator2,C.E.S,Juba,Microwave,ON Air,,Joshua Francis 
332,JBA6555,Mangaten 1,C.E.S,Juba,Microwave,ON Air,,Joshua Francis 
333,JBA6556,Jundoro,C.E.S,Juba,Microwave,ON Air,,Joshua Francis 
334,JBA6564,Rock City BLK5,C.E.S,Juba,Microwave,ON Air,,Joshua Francis 
335,JBA6566,Mangaten 2,C.E.S,Juba,Microwave,ON Air,,Joshua Francis 
336,JBA6710,Gumbo 2,C.E.S,Juba,Microwave,ON Air,,Joshua Francis 
337,JBA6553,Gudele Bk 8,C.E.S,Juba,Microwave,ON Air,,Joshua Francis 
338,JBA6602,Gumbo station,C.E.S,Juba,Microwave,ON Air,,Joshua Francis 
339,JBA6572,Nyakroun East,C.E.S,Juba,Microwave,ON Air,,Joshua Francis 
340,DKN6461,Wad Akona,UPPER NILE,Wad Akona,Vsat,ON Air,,Emmanuel Nyiyom
341,JBA6603,Kapuri2,C.E.S,Juba,Microwave,ON Air,,Joshua Francis 
342,FLG3506,Falluj 2,UPPER NILE,Falluj,Vsat,ON Air,,Emmanuel Nyiyom
343,JBA6601,Kator Church,C.E.S,Juba,Microwave,ON Air,,Joshua Francis 
344,JBA6550,Hai Tarawa 2,C.E.S,Juba,Microwave,ON Air,,Joshua Francis 
345,JBA6567,Seven Days,C.E.S,Juba,Microwave,ON Air,,Joshua Francis 
346,RNK5048,RENK 7,UPPER NILE,Renk,Vsat,ON Air,,Emmanuel Nyiyom
347,RNK6388,RENK 6,UPPER NILE,Renk,Vsat,ON Air,,Emmanuel Nyiyom
348,JBA6625,Gurom,C.E.S,Juba,Microwave,ON Air,,Joshua Francis 
349,JBA6490,Check Point 2,C.E.S,Juba,Microwave,ON Air,,Joshua Francis 
350,JBA6607,Khor Willian BLK A,C.E.S,Juba,Microwave,ON Air,,Joshua Francis 
351,JBA6614,Konyo Konyo3,C.E.S,Juba,Microwave,ON Air,,Joshua Francis 
352,JBA6623,Konyo Konyo4,C.E.S,Juba,Microwave,ON Air,,Joshua Francis 
353,JBA6605,Shari Baitari,C.E.S,Juba,Microwave,ON Air,,Joshua Francis 
354,JBA6604,Gumbo Bor road2,C.E.S,Juba,Microwave,ON Air,,Joshua Francis 
355,JBA6608,Hai Baraka,C.E.S,Juba,Microwave,ON Air,,Joshua Francis 
356,JBA6611,Thongpiny3,C.E.S,Juba,Microwave,ON Air,,Joshua Francis 
357,JBA6618,Kaseri,C.E.S,Juba,Microwave,ON Air,,Joshua Francis 
358,JBA6619,Rajaf Highway,C.E.S,Juba,Microwave,ON Air,,Joshua Francis 
359,JBA6561,Souk Jebel,C.E.S,Juba,Microwave,ON Air,,Joshua Francis 
360,JBA6627,Kakuma Somali Market,C.E.S,Juba,Microwave,ON Air,,Joshua Francis 
361,JBA6624,Munuki Central,C.E.S,Juba,Microwave,ON Air,,Joshua Francis 
362,JBA6616,Nyakuron East2,C.E.S,Juba,Microwave,ON Air,,Joshua Francis 
363,JBA6612,New Site,C.E.S,Juba,Microwave,ON Air,,Joshua Francis 
364,JBA6621,Mangaten3,C.E.S,Juba,Microwave,ON Air,,Joshua Francis 
365,JBA6620,Shirkat4,C.E.S,Juba,Microwave,ON Air,,Joshua Francis 
366,JBA6613,Referendum 4,C.E.S,Juba,Microwave,ON Air,,Joshua Francis 
367,JBA6610,Jopa 3,C.E.S,Juba,Microwave,ON Air,,Joshua Francis 
368,JBA6609,Jebel Yasua,C.E.S,Juba,Microwave,ON Air,,Joshua Francis 
369,JBA6557,Hai Malakal,C.E.S,Juba,Microwave,ON Air,,Joshua Francis 
370,JBA6582,Antipas Gudele,C.E.S,Juba,Microwave,ON Air,,Joshua Francis 
371,JBA6628,Konyo Konyo 5,C.E.S,Juba,Microwave,ON Air,,Joshua Francis 
372,JBA6629,Malakia,C.E.S,Juba,Microwave,ON Air,,Joshua Francis 
373,RDS0063,Domat,UPPER NILE,Domat,Microwave,ON Air,,Emmanuel Nyiyom
374,BNJ4954,Maban 3,UPPER NILE,Maban,Vsat,ON Air,,Emmanuel Nyiyom
375,BNJ3517,Maban 2,UPPER NILE,Maban,Vsat,ON Air,,Emmanuel Nyiyom
376,RDE0128,Yong,UPPER NILE,Lol,Vsat,ON Air,,Emmanuel Nyiyom
377,RDE0198,Pulchuol,JONGLEI,Pulchuol,Microwave,ON Air,No,Lule
378,,,,,,,,
379,,,,,,,,
380,,,,,,,,
381,,,,,,,,
382,,,,,,,,
